ICE4:ICD5:ICD4:PK5:PK4:Snap:AI,ICE4:ICD5:ICD4:PK5:PK4:Snap:AI,ICE4:ICD5:ICD4:PK5:PK4:Snap:AI,ICE4:ICD5:ICD4:PK5:PK4:Snap:AI,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5:ICD4:PK5:PK4:Snap,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5,ICE4:ICD5
Device,Prog BPs (1),Data BPs (1),Data BP Access,Tuples (ANDed BPs),Sequenced BPs,Range BPs,Table R/W BPs,Pass Counter,Clock Switch Break,Sleep Wake Break,Stack Over/Under Break,WDT Timeout Break,Stopwatch,Debug Reads,Runtime BPs,SW BPs,Live Connect,Data Capture (1),Runtime Watch (1),Native Trace,Port Trace,SPI Trace,ITM/SWO,PIC32 Instruction Trace,PC Profiling,PC Sampling
AT90CAN128,3,2,R/W,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AT90CAN32,3,2,R/W,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AT90CAN64,3,2,R/W,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AT90PWM1,0,0,No,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AT90PWM161,0,0,No,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AT90PWM216,0,0,No,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AT90PWM2B,0,0,No,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AT90PWM316,0,0,No,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AT90PWM3B,0,0,No,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AT90PWM81,0,0,No,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AT90USB1286,3,2,R/W,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AT90USB1287,3,2,R/W,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AT90USB162,0,0,No,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AT90USB646,3,2,R/W,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AT90USB647,3,2,R/W,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AT90USB82,0,0,No,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATA5700M322,3,0,No,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATA5702M322,3,0,No,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATA5781,0,0,No,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATA5782,0,0,No,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATA5783,0,0,No,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATA5787,3,0,No,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATA5831,3,0,No,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATA5832,3,0,No,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATA5833,3,0,No,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATA5835,3,0,No,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATA8210,0,0,No,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATA8215,0,0,No,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATA8510,0,0,No,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATA8515,0,0,No,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,No,No,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATSAMA5D21,3:ICE4-3:ICD5-3:ICD4-3:PK5-3:PK4-3:Snap-N/A:AI,0:ICE4-0:ICD5-0:ICD4-0:PK5-0:PK4-0:Snap-N/A:AI,No:ICE4-No:ICD5-No:ICD4-No:PK5-No:PK4-No:Snap-N/A:AI,0,No,N/A,No,0,N/A,N/A,N/A,N/A,No,N/A,No,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
