RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3,RI:ICD3,PK3,RI:ICD3,RI,RI,RI,RI,RI,RI,RI,RI,RI,RI
Device or Header,Prog BPs (1),Data BPs (1),Data BP Access,Tuples (ANDed BPs),Sequenced BPs,Range BPs,Table R/W BPs,Pass Counter,Clock Switch Break,Sleep Wake Break,Stack Over/Under Break,WDT Timeout Break,Stopwatch,Debug Reads,Stack Snapshot,Runtime BPs,SW BPs,PTG Support,App IO,Data Capture (1),Runtime Watch (1),Native Trace,Port Trace,SPI Trace,Instruction Trace,PC Profiling,PC Sampling,FLP,Jump Trace
MCV14A using AC162096,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
MCV18E using AC162054,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
MCV20USB using AC244023,3,5,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,Yes,No,Yes,N/A,5,5,Yes,Yes,Yes,No,No,No,Yes,No
MEC1404,4,2,R/W/Either,0,No,N/A,No,No,N/A,Yes,N/A,Yes,No,Yes,N/A,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
MEC1406,4,2,R/W/Either,0,No,N/A,No,No,N/A,Yes,N/A,Yes,No,Yes,N/A,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
MEC1408,4,2,R/W/Either,0,No,N/A,No,No,N/A,Yes,N/A,Yes,No,Yes,N/A,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
MEC1414,4,2,R/W/Either,0,No,N/A,No,No,N/A,Yes,N/A,Yes,No,Yes,N/A,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
MEC1416,4,2,R/W/Either,0,No,N/A,No,No,N/A,Yes,N/A,Yes,No,Yes,N/A,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
MEC1418,4,2,R/W/Either,0,No,N/A,No,No,N/A,Yes,N/A,Yes,No,Yes,N/A,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
MEC1428,4,2,R/W/Either,0,No,N/A,No,No,N/A,Yes,N/A,Yes,No,Yes,N/A,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC10F200 using AC162059,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC10F202 using AC162059,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC10F204 using AC162059,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC10F206 using AC162059,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC10F220 using AC162070,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC10F222 using AC162070,1,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC10F320 using AC244045,3,1,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC10F322 using AC244045,3,1,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC10LF320 using AC244045,3,1,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC10LF322 using AC244045,3,1,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC12F1501,0,0,No,0,No,N/A,No,No,No,No,No,No,No,N/A,N/A,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC12F1501 using AC244051,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PIC12F1571,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12F1572,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12F1612,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-No:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12F1612 using AC244066,32,32,R/W,0,32S / 32BPS,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12F1822,1,0,No,0,No,N/A,No,No,No,No,No,No,No,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,No,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
PIC12F1822 using AC244043,3,3,R/W,0,No,N/A,No,Yes,No,Yes,Yes,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3-,Yes,Yes,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No
