Device,AC,ADC,CCP,CLC,COG,Comp,CoreTimer,CRC,CWG,DeepSleep,DMA,DSM,EDMA,EEFC,EEFlash,EIC,EVSYS,ExternalInterrupt,INT,FVR,GPIO,HLT,IDAU,IC,OC,MPU,NVMController,Osc,PAC,PIO,Ports,PPS,PWM,PullUp,RTC,RTSP,RTT,SERCOM,SMT,SYSTICK,TMR/CNTR,UART,USART,VREF,WDT
AT90CAN128,AC,ADC,,,,,,,,,,,,,,,,ExternalInterrupt,,,,,,,,,NVMController,,,,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,,,,,,,,,,TC0;TC1;TC2;TC3,UART0;UART1,,,WDT
AT90CAN32,AC,ADC,,,,,,,,,,,,,,,,ExternalInterrupt,,,,,,,,,NVMController,,,,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,,,,,,,,,,TC0;TC1;TC2;TC3,UART0;UART1,,,WDT
AT90CAN64,AC,ADC,,,,,,,,,,,,,,,,ExternalInterrupt,,,,,,,,,NVMController,,,,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,,,,,,,,,,TC0;TC1;TC2;TC3,UART0;UART1,,,WDT
AT90PWM1,,,,,,,,,,,,,,,,,,ExternalInterrupt,,,,,,,,,NVMController,,,,,,,,,,,,,,TC0;TC1,,,,WDT
AT90PWM161,,,,,,,,,,,,,,,,,,ExternalInterrupt,,,,,,,,,NVMController,,,,,,,,,,,,,,TC1,,,,WDT
AT90PWM216,,,,,,,,,,,,,,,,,,ExternalInterrupt,,,,,,,,,NVMController,,,,,,,,,,,,,,TC0;TC1,,USART,,WDT
AT90PWM2B,,,,,,,,,,,,,,,,,,ExternalInterrupt,,,,,,,,,NVMController,,,,,,,,,,,,,,TC0;TC1,,USART,,WDT
AT90PWM316,,,,,,,,,,,,,,,,,,ExternalInterrupt,,,,,,,,,NVMController,,,,,,,,,,,,,,TC0;TC1,,USART,,WDT
AT90PWM3B,,,,,,,,,,,,,,,,,,ExternalInterrupt,,,,,,,,,NVMController,,,,,,,,,,,,,,TC0;TC1,,USART,,WDT
AT90PWM81,,,,,,,,,,,,,,,,,,ExternalInterrupt,,,,,,,,,NVMController,,,,,,,,,,,,,,TC1,,,,WDT
AT90USB1286,,,,,,,,,,,,,,,,,,ExternalInterrupt,,,,,,,,,NVMController,,,,,,,,,,,,,,TC0;TC1;TC2;TC3,UART1,,,WDT
AT90USB1287,,,,,,,,,,,,,,,,,,ExternalInterrupt,,,,,,,,,NVMController,,,,,,,,,,,,,,TC0;TC1;TC2;TC3,UART1,,,WDT
AT90USB162,,,,,,,,,,,,,,,,,,ExternalInterrupt,,,,,,,,,NVMController,,,,,,,,,,,,,,TC0;TC1,UART1,,,WDT
AT90USB646,,,,,,,,,,,,,,,,,,ExternalInterrupt,,,,,,,,,NVMController,,,,,,,,,,,,,,TC0;TC1;TC2;TC3,UART1,,,WDT
AT90USB647,,,,,,,,,,,,,,,,,,ExternalInterrupt,,,,,,,,,NVMController,,,,,,,,,,,,,,TC0;TC1;TC2;TC3,UART1,,,WDT
AT90USB82,,,,,,,,,,,,,,,,,,ExternalInterrupt,,,,,,,,,NVMController,,,,,,,,,,,,,,TC0;TC1,UART1,,,WDT
ATA5700M322,,,,,,,,,,,,,,,,,,,,,,,,,,,NVMController,,,,,,,,,,,,,,,,,,
ATA5702M322,,,,,,,,,,,,,,,,,,,,,,,,,,,NVMController,,,,,,,,,,,,,,,,,,
ATA5781,,,,,,,,,,,,,,,,,,,,,,,,,,,NVMController,,,,,,,,,,,,,,,,,,
ATA5782,,,,,,,,,,,,,,,,,,,,,,,,,,,NVMController,,,,,,,,,,,,,,,,,,
ATA5783,,,,,,,,,,,,,,,,,,,,,,,,,,,NVMController,,,,,,,,,,,,,,,,,,
ATA5787,,,,,,,,,,,,,,,,,,,,,,,,,,,NVMController,,,,,,,,,,,,,,,,,,
ATA5831,,,,,,,,,,,,,,,,,,,,,,,,,,,NVMController,,,,,,,,,,,,,,,,,,
ATA5832,,,,,,,,,,,,,,,,,,,,,,,,,,,NVMController,,,,,,,,,,,,,,,,,,
ATA5833,,,,,,,,,,,,,,,,,,,,,,,,,,,NVMController,,,,,,,,,,,,,,,,,,
ATA5835,,,,,,,,,,,,,,,,,,,,,,,,,,,NVMController,,,,,,,,,,,,,,,,,,
ATA8210,,,,,,,,,,,,,,,,,,,,,,,,,,,NVMController,,,,,,,,,,,,,,,,,,
ATA8215,,,,,,,,,,,,,,,,,,,,,,,,,,,NVMController,,,,,,,,,,,,,,,,,,
ATA8510,,,,,,,,,,,,,,,,,,,,,,,,,,,NVMController,,,,,,,,,,,,,,,,,,
ATA8515,,,,,,,,,,,,,,,,,,,,,,,,,,,NVMController,,,,,,,,,,,,,,,,,,
ATSAMC20E15A,ACC,,,,,,,,,,,,,,,EIC,EVSYS,,,,,,,,,MPU,,,,,PORT_GROUP0,,,,,,,SERCOM0;SERCOM1;SERCOM2;SERCOM3,,SYSTICK,TC0;TC1;TC2;TC3;TC4,,,,
ATSAMC20E16A,ACC,,,,,,,,,,,,,,,EIC,EVSYS,,,,,,,,,MPU,,,,,PORT_GROUP0,,,,,,,SERCOM0;SERCOM1;SERCOM2;SERCOM3,,SYSTICK,TC0;TC1;TC2;TC3;TC4,,,,
ATSAMC20E17A,ACC,,,,,,,,,,,,,,,EIC,EVSYS,,,,,,,,,MPU,,,,,PORT_GROUP0,,,,,,,SERCOM0;SERCOM1;SERCOM2;SERCOM3,,SYSTICK,TC0;TC1;TC2;TC3;TC4,,,,
ATSAMC20E18A,ACC,,,,,,,,,,,,,,,EIC,EVSYS,,,,,,,,,MPU,,,,,PORT_GROUP0,,,,,,,SERCOM0;SERCOM1;SERCOM2;SERCOM3,,SYSTICK,TC0;TC1;TC2;TC3;TC4,,,,
ATSAMC20G15A,ACC,,,,,,,,,,,,,,,EIC,EVSYS,,,,,,,,,MPU,,,,,PORT_GROUP0;PORT_GROUP1,,,,,,,SERCOM0;SERCOM1;SERCOM2;SERCOM3,,SYSTICK,TC0;TC1;TC2;TC3;TC4,,,,
ATSAMC20G16A,ACC,,,,,,,,,,,,,,,EIC,EVSYS,,,,,,,,,MPU,,,,,PORT_GROUP0;PORT_GROUP1,,,,,,,SERCOM0;SERCOM1;SERCOM2;SERCOM3,,SYSTICK,TC0;TC1;TC2;TC3;TC4,,,,
ATSAMC20G17A,ACC,,,,,,,,,,,,,,,EIC,EVSYS,,,,,,,,,MPU,,,,,PORT_GROUP0;PORT_GROUP1,,,,,,,SERCOM0;SERCOM1;SERCOM2;SERCOM3,,SYSTICK,TC0;TC1;TC2;TC3;TC4,,,,
ATSAMC20G18A,ACC,,,,,,,,,,,,,,,EIC,EVSYS,,,,,,,,,MPU,,,,,PORT_GROUP0;PORT_GROUP1,,,,,,,SERCOM0;SERCOM1;SERCOM2;SERCOM3,,SYSTICK,TC0;TC1;TC2;TC3;TC4,,,,
ATSAMC20J15A,ACC,,,,,,,,,,,,,,,EIC,EVSYS,,,,,,,,,MPU,,,,,PORT_GROUP0;PORT_GROUP1,,,,,,,SERCOM0;SERCOM1;SERCOM2;SERCOM3,,SYSTICK,TC0;TC1;TC2;TC3;TC4,,,,
ATSAMC20J16A,ACC,,,,,,,,,,,,,,,EIC,EVSYS,,,,,,,,,MPU,,,,,PORT_GROUP0;PORT_GROUP1,,,,,,,SERCOM0;SERCOM1;SERCOM2;SERCOM3,,SYSTICK,TC0;TC1;TC2;TC3;TC4,,,,
ATSAMC20J17A,ACC,,,,,,,,,,,,,,,EIC,EVSYS,,,,,,,,,MPU,,,,,PORT_GROUP0;PORT_GROUP1,,,,,,,SERCOM0;SERCOM1;SERCOM2;SERCOM3,,SYSTICK,TC0;TC1;TC2;TC3;TC4,,,,
ATSAMC20J17AU,ACC,,,,,,,,,,,,,,,EIC,EVSYS,,,,,,,,,MPU,,,,,PORT_GROUP0;PORT_GROUP1,,,,,,,SERCOM0;SERCOM1;SERCOM2;SERCOM3,,SYSTICK,TC0;TC1;TC2;TC3;TC4,,,,
ATSAMC20J18A,ACC,,,,,,,,,,,,,,,EIC,EVSYS,,,,,,,,,MPU,,,,,PORT_GROUP0;PORT_GROUP1,,,,,,,SERCOM0;SERCOM1;SERCOM2;SERCOM3,,SYSTICK,TC0;TC1;TC2;TC3;TC4,,,,
ATSAMC20J18AU,ACC,,,,,,,,,,,,,,,EIC,EVSYS,,,,,,,,,MPU,,,,,PORT_GROUP0;PORT_GROUP1,,,,,,,SERCOM0;SERCOM1;SERCOM2;SERCOM3,,SYSTICK,TC0;TC1;TC2;TC3;TC4,,,,
ATSAMC20N17A,ACC,,,,,,,,,,,,,,,EIC,EVSYS,,,,,,,,,MPU,,,,,PORT_GROUP0;PORT_GROUP1;PORT_GROUP2,,,,,,,SERCOM0;SERCOM1;SERCOM2;SERCOM3;SERCOM4;SERCOM5;SERCOM6;SERCOM7,,SYSTICK,TC0;TC1;TC2;TC3;TC4;TC5;TC6;TC7,,,,
