Device,Prog/Data BPs,Delay Count,Pass Count,Data BP Access,ANDed BPs,Sequenced BPs,Stopwatch,Table R/W BPs,Break - Reset,Break - Sleep,Break - Stack,Break - WDT,RunTimeWatch,Trace,Analyzer,Reg Trace
AT90CAN128,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AT90CAN32,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AT90CAN64,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AT90PWM1,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AT90PWM161,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AT90PWM216,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AT90PWM2B,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AT90PWM316,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AT90PWM3B,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AT90PWM81,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AT90USB1286,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AT90USB1287,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AT90USB162,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AT90USB646,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AT90USB647,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AT90USB82,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ATA5700M322,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ATA5702M322,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ATA5781,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ATA5782,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ATA5783,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ATA5787,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ATA5831,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ATA5832,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ATA5833,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ATA5835,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ATA8210,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ATA8215,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ATA8510,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ATA8515,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ATSAMC20E15A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC20E16A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC20E17A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC20E18A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC20G15A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC20G16A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC20G17A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC20G18A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC20J15A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC20J16A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC20J17A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC20J17AU,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC20J18A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC20J18AU,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC20N17A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC20N18A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC21E15A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC21E16A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC21E17A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC21E18A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC21G15A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC21G16A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC21G17A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC21G18A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC21J15A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC21J16A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC21J17A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC21J17AU,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC21J18A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC21J18AU,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC21N17A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMC21N18A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMD09C13A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMD09D14A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
ATSAMD10C13A,1000 Total,1e+09,1e+09,R/W/Either,1000,1000/1000,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
